Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,64.0,,,
1,1,Mike,Sale,Mike Sale,-8.50,47,$111.00,,,,,,
2,2,James,Proctor,James Proctor,-6.66,48,$80.00,,,,,,
3,3,Sean,Jack,Sean Jack,-5.39,52,$37.00,,,,,,
4,4,Matt,Neiman,Matt Neiman,-5.33,53,$28.00,,,,,,
5,5,Cory,Murrell,Cory Murrell,-1.98,55,,,,,,,
6,6,Greg,Breazeale,Greg Breazeale,-2.20,56,$6.00,,,,,,
7,6,Jacob,Sanderson,Jacob Sanderson,-1.57,56,,,,,,,
8,6,Matt,Angel,Matt Angel,-1.30,56,,,,,,,
9,9,Chris,Johengen,Chris Johengen,-3.85,57,$14.00,,,,,,
10,9,Eric,Leaf,Eric Leaf,-3.72,57,$13.00,,,,,,
11,9,Vince,Mardigras,Vince Mardigras,-2.77,57,$9.00,,,,,,
12,9,Joe,Kestler,Joe Kestler,-2.19,57,5,,,,,,
13,9,Brandon,Lohmann,Brandon Lohmann,-1.33,57,,,,,,,
14,9,Ben,Fox,Ben Fox,-1.33,57,,,,,,,
15,9,Toby,Parks,Toby Parks,-0.75,57,,,,,,,
16,9,Todd,Kurnat,Todd Kurnat,0.74,57,,,,,,,
17,9,Jeff,Faes,Jeff Faes,2.27,57,,,,,,,
18,18,Simon,Crosby,Simon Crosby,-4.20,58,$18.00,,,,,,
19,18,Andy,Hale,Andy Hale,-1.64,58,,,,,,,
20,18,Mike,Figueroa,Mike Figueroa,-1.10,58,,,,,,,
21,18,Juan,Bernal,Juan Bernal,2.10,58,,,,,,,
22,22,Mike,Hudson,Mike Hudson,-2.17,59,,,,,,,
23,22,Will,Borger,Will Borger,-0.50,59,,,,,,,
24,22,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick",1.93,59,,,,,,,
25,25,David,Falzone,David Falzone,-3.69,60,$11.00,,,,,,
26,25,Life,Gibson,Life Gibson,-2.52,60,$7.00,,,,,,
27,25,Kevin,Eckert,Kevin Eckert,1.04,60,,,,,,,
28,25,Marco,Benites,Marco Benites,1.40,60,,,,,,,
29,25,Booth,Burrows,Booth Burrows,1.49,60,,,,,,,
30,30,Mick,Coronel,Mick Coronel,-1.70,61,,,,,,,
31,30,Chris,Hart,Chris Hart,1.28,61,,,,,,,
32,30,Dino,Papagni,Dino Papagni,1.37,61,,,,,,,
33,30,Harper,Alexander,Harper Alexander,4.20,61,,,,,,,
34,34,Alan,Chambless,Alan Chambless,-5.74,62,$54.00,,,,,,
35,34,Mike,Mardigras,Mike Mardigras,-5.03,62,$22.00,,,,,,
36,34,Scott,Snyder,Scott Snyder,-0.97,62,,,,,,,
37,34,Jon,Toby,Jon Toby,-0.16,62,,,,,,,
38,34,David,Yovino,David Yovino,0.48,62,,,,,,,
39,34,Filipe,Wong,Filipe Wong,0.66,62,,,,,,,
40,34,Bob,Proctor,Bob Proctor,0.70,62,,,,,,,
41,34,Chase,Lawler,Chase Lawler,1.65,62,,,,,,,
42,34,Roger,Crain,Roger Crain,1.96,62,,,,,,,
43,34,Shawn,Mercy,Shawn Mercy,2.86,62,,,,,,,
44,34,Travis,Callahan,Travis Callahan,3.99,62,,,,,,,
45,45,Eric,Roth,Eric Roth,-0.33,63,,,,,,,
46,45,Jesse,Miller,Jesse Miller,1.52,63,,,,,,,
47,45,Bob,McGarity,Bob McGarity,1.79,63,,,,,,,
48,45,Matt,Brenner,Matt Brenner,2.56,63,,,,,,,
49,45,Luiz,Celeste,Luiz Celeste,3.14,63,,,,,,,
50,50,Roth,Roeun,Roth Roeun,-1.04,64,,,,,,,
51,50,Christian,Plevin,Christian Plevin,-0.72,64,,,,,,,
52,50,Thor,Scordelis,Thor Scordelis,-0.59,64,,,,,,,
53,50,Aaron,Sorber,Aaron Sorber,0.00,64,,,,,,,
54,50,Dave,McGrath,Dave McGrath,0.36,64,,,,,,,
55,50,Josh,Babiak,Josh Babiak,0.72,64,,,,,,,
56,50,William,Jerpe,William Jerpe,1.04,64,,,,,,,
57,50,Glenn,Murray,Glenn Murray,1.31,64,,,,,,,
58,50,Steven,P.,Steven P.,2.12,64,,,,,,,
59,50,Eldridge,Manchester,Eldridge Manchester,2.34,64,,,,,,,
60,50,Andy,Leaf,Andy Leaf,5.90,64,,,,,,,
61,61,Oliver,Uribe,Oliver Uribe,-1.48,65,,,,,,,
62,61,Dennis,Condos,Dennis Condos,0.55,65,,,,,,,
63,61,Daniel,Humphreys,Daniel Humphreys,2.35,65,,,,,,,
64,61,Sean,Saxton,Sean Saxton,4.69,65,,,,,,,
65,61,Bert,Williams,Bert Williams,,65,,,,,,,
66,66,Landyn,Christopher,Landyn Christopher,-0.93,66,,,,,,,
67,66,Sabas,Gonzalez,Sabas Gonzalez,-0.61,66,,,,,,,
68,66,Kevin,Smeds,Kevin Smeds,0.74,66,,,,,,,
69,66,Roji,Behr,Roji Behr,1.85,66,,,,,,,
70,66,Matt,Duncanson,Matt Duncanson,2.18,66,,,,,,,
71,71,Cory,Sprous,Cory Sprous,2.33,67,,,,,,,
72,71,John,Opsal,John Opsal,2.77,67,,,,,,,
73,71,Rich,Korach,Rich Korach,5.12,67,,,,,,,
74,71,Josh,Schmidt,Josh Schmidt,6.06,67,,,,,,,
75,71,Rob,Levander,Rob Levander,6.29,67,,,,,,,
76,71,Chris,Tirrell,Chris Tirrell,6.33,67,,,,,,,
77,71,Sylvain,Pelletier,Sylvain Pelletier,,67,,,,,,,
78,78,Sean,Pierson,Sean Pierson,4.41,68,,,,,,,
79,78,Bob,Wigersma,Bob Wigersma,4.99,68,,,,,,,
80,78,Andy,Rothschild,Andy Rothschild,5.26,68,,,,,,,
81,78,Eddie,Fitzsimmons,Eddie Fitzsimmons,5.67,68,,,,,,,
82,82,Andy,Nguyen,Andy Nguyen,3.47,69,,,,,,,
83,82,Viento,Nieto,Viento Nieto,5.27,69,,,,,,,
84,82,Campbell,Smith,Campbell Smith,6.13,69,,,,,,,
85,82,Edward,Bigarani,Edward Bigarani,7.03,69,,,,,,,
86,82,Daniel,Charlip-Blumlein,Daniel Charlip-Blumlein,7.57,69,,,,,,,
87,87,Scott,Maxey,Scott Maxey,-0.69,70,,,,,,,
88,87,Steven,Cole,Steven Cole,2.90,70,,,,,,,
89,87,Nellio,Fontes,Nellio Fontes,3.53,70,,,,,,,
90,87,Jason,Tindell,Jason Tindell,6.36,70,,,,,,,
91,87,James,Teets,James Teets,6.50,70,,,,,,,
92,92,Nick,Cheney,Nick Cheney,0.04,71,,,,,,,
93,92,Craig,Bostwick,Craig Bostwick,1.69,71,,,,,,,
94,92,Brandon,Saker,Brandon Saker,3.90,71,,,,,,,
95,95,Hugh,Harrell,Hugh Harrell,0.13,72,,,,,,,
96,96,Ron,Schreier,Ron Schreier,7.07,73,,,,,,,
97,97,Patrick,Whitesell,Patrick Whitesell,7.33,77,,,,,,,
98,97,Nick,Klein,Nick Klein,10.32,77,,,,,,,
99,99,Jamie,Williams,Jamie Williams,5.35,86,,,,,,,
100,100,Troy,Heine,Troy Heine,7.46,88,,,,,,,
101,101,Wes,Miller,Wes Miller,,100,,,,,,,
102,102,,, ,,,,,,,,,
103,102,,, ,,,,,,,,,
104,102,,, ,,,,,,,,,
105,102,,, ,,,,,,,,,
106,102,,, ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
